id,sales
3000888,6.14
3000889,0.0
3000890,14.08
3000891,2746.56
3000892,0.0
3000893,392.01932000000045
3000894,7.3
3000895,886.68
3000896,2477.38
3000897,109.94240020000007
3000898,642.83
3000899,103.30432
3000900,5515.738870000001
3000901,11.14
3000902,1.2
3000903,45.77
3000904,38.35
3000905,0.22
3000906,137.04445002
3000907,16.65
3000908,149.31132023
3000909,18.05003
3000910,98.98320006
3000911,2.21
3000912,189.69787140000005
3000913,130.32177000000001
3000914,2.96
3000915,5.82
3000916,306.9536599000001
3000917,86.78116
3000918,2828.8972389999985
3000919,144.01079015000005
3000920,5.802190005
3000921,3.19
3000922,0.0
3000923,7.54
3000924,3358.89
3000925,0.0
3000926,486.91906000000034
3000927,2.55
3000928,1386.02
3000929,2040.74
3000930,149.6391702
3000931,104.33
3000932,88.43849992000001
3000933,6136.931379999997
3000934,2.12
3000935,0.18
3000936,43.16
3000937,56.66
3000938,0.15
3000939,185.7296002
3000940,1.36
3000941,148.03923023000004
3000942,17.336149999999996
3000943,101.93389004000001
3000944,1.94
3000945,243.1411379999997
3000946,176.87845000000002
3000947,0.3
3000948,3.72
3000949,172.5605294
3000950,41.10405
3000951,1530.4575100000002
3000952,143.38698015000003
3000953,0.07
3000954,5.32
3000955,0.22
3000956,7.54
3000957,3688.35
3000958,0.02
3000959,440.3938000000001
3000960,15.01
3000961,1541.25
3000962,2040.74
3000963,150.92846020000002
3000964,75.78
3000965,86.61955991
3000966,6837.30638
3000967,2.12
3000968,0.35
3000969,37.87
3000970,56.66
3000971,0.3
3000972,184.3296002
3000973,1.19
3000974,148.03923023000004
3000975,15.6965
3000976,99.34226006
3000977,2.58
3000978,347.03445
3000979,170.60938000000002
3000980,1.08
3000981,7.37995
3000982,253.17938950000024
3000983,51.7117
3000984,1424.5024199999998
3000985,143.38698015000003
3000986,0.0
3000987,0.04
3000988,0.0
3000989,7.81
3000990,3641.65
3000991,0.0
3000992,409.16332
3000993,0.0
3000994,1517.46
3000995,2040.74
3000996,154.5846002
3000997,68.99
3000998,74.15390982000002
3000999,4889.946819999999
3001000,1.05
3001001,0.0
3001002,43.27
3001003,56.66
3001004,0.0
3001005,190.76849019999997
3001006,0.0
3001007,153.78913023
3001008,17.281119999999998
3001009,100.44710004000001
3001010,0.17
3001011,9.661359999999997
3001012,186.73309
3001013,0.0
3001014,0.0
3001015,820.06606
3001016,20.664479999999998
3001017,1595.0917000000004
3001018,148.28759015000003
3001019,0.0
3001020,0.0
3001021,0.0
3001022,7.83
3001023,2856.69
3001024,0.0
3001025,402.9957
3001026,0.0
3001027,1174.93
3001028,2040.74
3001029,155.30494020000003
3001030,65.66
3001031,70.37601982000007
3001032,4691.362909999999
3001033,0.0
3001034,0.0
3001035,42.65
3001036,56.78
3001037,0.0
3001038,188.8484902
3001039,0.0
3001040,153.78913023
3001041,15.5065
3001042,102.79916003999999
3001043,0.0
3001044,0.7885599999999999
3001045,169.43921999999995
3001046,0.0
3001047,0.0
3001048,0.22256
3001049,0.0
3001050,1595.0917000000004
3001051,148.28759015000003
3001052,0.0
3001053,0.0
3001054,0.0
3001055,7.82
3001056,2493.49
3001057,0.0
3001058,441.54572000000013
3001059,0.0
3001060,1186.49
3001061,2040.74
3001062,151.14552020000002
3001063,61.62
3001064,69.47268982000006
3001065,4685.733749999999
3001066,0.0
3001067,0.0
3001068,42.78
3001069,55.43
3001070,0.0
3001071,187.4984902
3001072,0.0
3001073,152.26736023
3001074,12.724659999999998
3001075,98.61710003999997
3001076,0.0
3001077,0.7885599999999999
3001078,180.39989999999997
3001079,0.0
3001080,0.0
3001081,0.22256
3001082,0.0
3001083,1611.9744500000002
3001084,146.91867015
3001085,0.0
3001086,0.0
3001087,0.0
3001088,7.84
3001089,2517.69
3001090,0.0
3001091,396.63897999999995
3001092,0.0
3001093,1170.5
3001094,2040.74
3001095,156.27988
3001096,91.83
3001097,73.05067996000007
3001098,4698.542909999999
3001099,0.0
3001100,0.0
3001101,42.14
3001102,53.96
3001103,0.0
3001104,201.81849019999999
3001105,0.0
3001106,140.25026018000003
3001107,18.327549999999995
3001108,92.88179007999999
3001109,0.0
3001110,0.7885599999999999
3001111,187.51927
3001112,0.0
3001113,0.0
3001114,0.22256
3001115,0.0
3001116,1624.3350400000004
3001117,132.54446015
3001118,0.0
3001119,0.0
3001120,0.0
3001121,7.82
3001122,2461.79
3001123,0.0
3001124,383.6780499999999
3001125,0.0
3001126,1112.47
3001127,2040.74
3001128,148.0153402
3001129,107.12
3001130,63.330589990000064
3001131,4441.77291
3001132,0.0
3001133,0.0
3001134,42.24
3001135,43.6
3001136,0.0
3001137,199.25194019999998
3001138,0.0
3001139,137.77581018000004
3001140,18.687549999999998
3001141,91.25914006
3001142,0.0
3001143,0.7885599999999999
3001144,164.71635999999998
3001145,0.0
3001146,0.0
3001147,777.8236600000001
3001148,38.11726
3001149,1624.3350400000004
3001150,130.2136502
3001151,0.0
3001152,0.0
3001153,0.0
3001154,7.82
3001155,2630.05
3001156,0.0
3001157,370.4553499999999
3001158,0.0
3001159,1105.36
3001160,2040.74
3001161,145.6223902
3001162,109.31
3001163,81.1438999900001
3001164,4308.225640000001
3001165,0.0
3001166,0.0
3001167,43.87
3001168,36.48
3001169,0.0
3001170,200.59194019999995
3001171,0.0
3001172,135.83581018000004
3001173,19.037549999999996
3001174,89.31914006
3001175,0.0
3001176,0.29571
3001177,186.14927
3001178,0.0
3001179,0.0
3001180,0.11128
3001181,0.0
3001182,1547.007351
3001183,128.2736502
3001184,0.0
3001185,0.0
3001186,0.0
3001187,7.81
3001188,2510.03
3001189,0.0
3001190,352.5274299999999
3001191,0.0
3001192,1068.85
3001193,2021.64
3001194,138.74621020000004
3001195,109.07
3001196,73.07614999000006
3001197,4273.45926
3001198,0.0
3001199,0.0
3001200,48.22
3001201,34.67
3001202,0.0
3001203,200.78194019999995
3001204,0.0
3001205,131.82466019999998
3001206,20.7247
3001207,89.31914006
3001208,0.0
3001209,0.0
3001210,156.53415000000004
3001211,0.0
3001212,0.0
3001213,778.97383
3001214,38.88548
3001215,1690.4909300000006
3001216,128.2736502
3001217,0.0
3001218,0.0
3001219,0.0
3001220,7.83
3001221,2519.27
3001222,0.0
3001223,359.1125499999999
3001224,0.0
3001225,1068.23
3001226,2021.64
3001227,134.77198052000006
3001228,84.51
3001229,68.32053000000005
3001230,4222.00251
3001231,0.0
3001232,0.0
3001233,42.78
3001234,33.45
3001235,0.0
3001236,191.91646039999995
3001237,0.0
3001238,131.7372004
3001239,12.92686
3001240,90.81750007999999
3001241,0.0
3001242,0.0
3001243,185.3907402
3001244,0.0
3001245,0.0
3001246,0.0
3001247,0.0
3001248,1680.58574
3001249,127.66967045999998
3001250,0.0
3001251,7.01
3001252,0.05
3001253,14.08
3001254,4028.81
3001255,0.01
3001256,405.1965700000005
3001257,7.3
3001258,1283.69
3001259,2477.38
3001260,109.94240020000007
3001261,642.83
3001262,189.9592900000002
3001263,6349.11887
3001264,28.99
3001265,1.48
3001266,45.77
3001267,38.35
3001268,0.43
3001269,156.13246999999998
3001270,25.52
3001271,149.31132023
3001272,20.48787
