id,Response
57782,0
286811,0
117823,0
213992,0
324756,0
425764,0
2934,0
99098,0
120076,0
272687,0
267856,0
72816,0
333425,0
340300,0
109149,0
56564,0
327695,0
121415,0
135475,0
123111,0
460198,1
470502,0
298001,0
289863,0
366881,0
354795,0
234722,0
145030,0
247634,0
334223,0
219786,0
368423,0
215693,0
245902,0
15508,0
426604,0
471471,0
477820,1
44423,0
290504,0
19435,0
233561,0
97275,0
300590,0
210794,0
290763,0
164680,0
481448,0
380926,0
361941,0
345676,0
463955,0
198974,0
225389,0
108177,0
423589,0
408711,1
95788,0
38980,0
158556,0
397108,1
70021,0
125375,0
20293,0
107824,0
170130,0
40607,0
63365,0
35399,0
213556,0
487215,0
88870,0
17317,0
491014,1
251993,0
494670,0
47465,0
435709,1
202013,0
265624,0
68150,0
251009,0
77902,0
331274,0
48944,0
250779,0
447089,0
375597,0
432875,0
282937,0
273279,0
268618,0
61521,0
182307,0
243458,0
213061,0
174001,0
335580,0
10883,0
192776,0
319944,0
310602,0
470565,0
362512,1
3287,0
219801,0
88750,0
43171,0
11493,0
343694,0
230793,0
222612,0
273235,0
455033,0
67185,0
4522,0
49962,0
245251,0
327457,0
344959,0
7232,0
16965,0
161570,0
137998,0
459975,0
288576,0
310375,0
353420,0
226293,0
317043,0
136646,0
455621,0
284376,0
314871,0
196073,0
273225,0
431864,0
281843,0
366355,0
299639,0
237561,0
450146,0
182009,0
493120,1
168568,0
367694,0
372951,0
472365,1
191728,0
13816,1
97294,0
326479,0
226875,0
315602,0
164530,0
243341,0
200412,0
233858,0
432725,0
362602,1
168001,0
294207,0
130036,0
16976,0
225575,0
262934,0
284771,0
261735,0
262716,0
186508,0
452211,1
259326,0
77804,0
148958,0
199757,0
25600,0
18180,0
154871,0
484427,1
338138,0
5452,0
410505,1
313247,0
293663,0
367129,0
351409,0
411152,0
239983,0
171953,0
82476,0
180519,0
85849,0
147522,0
5945,0
99863,0
19819,0
43434,0
158672,0
180653,0
174102,0
12828,0
58950,0
191141,0
475066,0
224237,0
314561,0
267060,0
219539,0
177115,0
137815,0
436192,0
34341,0
225764,0
216150,0
408485,0
372387,0
168088,0
174219,0
12813,0
454741,0
29076,0
68898,0
68850,0
380537,0
506129,1
318681,0
327674,0
264276,0
411187,0
76196,0
212630,0
336095,0
504454,1
98876,0
274569,0
169081,0
17729,0
4748,0
287619,0
28247,0
71038,0
137098,0
282265,0
320097,0
308124,0
301327,0
219395,0
222500,0
290014,0
179833,0
11432,0
45247,0
230379,0
27133,0
286684,0
470969,0
63197,0
105184,0
69002,0
403618,0
191297,0
77932,0
379323,0
143354,0
368431,0
492197,0
456055,0
119619,0
448375,0
329918,0
59263,0
171062,0
15878,0
360814,0
47678,0
470108,1
105517,0
347357,0
193039,0
115468,0
307177,0
407421,0
350822,0
158102,0
15303,0
358557,0
9418,0
456470,0
297277,0
286178,0
144583,1
53850,0
82227,0
74448,0
266291,0
218554,0
17411,0
209570,0
70484,0
231961,0
194426,0
220829,0
68099,0
28303,0
24307,0
499786,0
224049,0
242553,0
131000,0
122677,0
493430,0
100828,0
318374,0
284598,0
174776,0
132004,0
212720,0
55534,0
35906,0
142631,0
365078,0
88671,0
94331,0
406985,0
149604,0
228896,0
435071,0
448784,1
410557,1
87372,0
74634,0
280301,0
25782,0
347635,0
9058,0
438586,0
75869,0
90940,0
4793,0
95272,0
233824,0
422437,1
150614,0
219987,0
323119,0
107498,0
451527,0
106569,0
8373,0
161375,0
43764,0
294597,0
346668,0
136990,1
186662,0
9411,0
436151,1
59887,0
425840,0
106145,0
165383,0
493170,0
219301,0
132236,0
187949,0
131466,0
477061,0
321149,0
284970,0
320031,0
86479,0
380849,0
118698,0
230540,0
56584,0
250905,0
350104,0
146842,0
442411,1
297928,0
358088,0
239886,0
69040,0
194187,0
29873,0
394879,1
236151,0
221522,0
263632,0
117582,0
126476,0
50287,0
375577,0
340837,0
213442,0
209177,0
189719,0
189537,0
57505,0
176706,0
353927,0
238712,0
122660,0
81414,0
178658,0
41174,0
90957,0
15253,0
281584,0
49150,0
291641,0
329229,0
355174,0
99417,0
168286,0
145212,0
173509,0
110595,0
211162,0
20551,0
149593,0
178082,0
434244,0
475878,1
354910,0
200196,0
81648,0
106644,0
87765,0
389544,0
49602,0
430266,0
64588,0
396301,1
317826,0
399305,1
463283,1
81959,0
374874,0
323314,0
206632,0
323864,0
159016,0
12570,0
280707,0
344763,0
400271,1
58809,0
434881,0
418831,1
382595,1
47441,0
312737,0
72612,0
37275,0
116597,0
221681,0
10923,0
486776,0
401918,0
373018,0
193411,0
319784,0
180843,0
379845,0
52336,0
101404,0
413463,0
109468,0
431634,1
378948,0
287865,0
129696,0
178168,0
102908,0
5405,0
128900,0
485938,0
491701,0
248005,0
503909,0
237181,0
444623,0
398100,0
325747,0
161458,0
441079,1
381116,0
332088,0
171161,0
72,0
196127,0
327901,0
28787,1
402942,0
117919,0
25968,0
385007,1
225147,0
423273,1
272396,0
415566,0
413056,1
28541,0
298947,0
328107,0
65738,0
281903,0
61640,0
424759,1
263939,0
48040,0
275354,0
126547,0
183840,0
6375,0
319097,0
395704,1
266502,0
122361,0
278445,0
365815,0
321525,0
63198,0
230282,0
76801,0
5809,0
387685,1
91527,0
373907,0
59575,0
139086,0
70847,0
42072,0
37431,0
507436,0
410068,1
156088,0
378628,0
137338,0
168064,0
162177,0
316837,0
132514,0
368293,0
237012,0
34349,0
104196,0
125822,0
156503,0
92963,0
372410,0
363018,0
394449,1
376870,0
190916,0
120824,0
439914,1
150050,0
355903,0
444910,0
372559,0
166769,0
368440,0
499859,1
228122,0
146568,0
97477,0
166352,0
145047,0
70159,0
118149,0
310745,0
361040,0
225839,0
173220,0
137459,0
23518,0
367099,0
217957,0
96991,0
14262,0
155585,0
50964,0
105617,1
446025,1
139740,0
471803,1
51164,0
269263,0
467754,0
188951,0
28948,0
459704,0
152902,0
177308,0
231534,0
136350,0
297807,0
234262,0
183281,0
463728,0
46219,0
319099,0
5290,0
369137,0
65221,0
411161,0
373656,0
114308,0
314246,0
273984,0
213107,0
226230,0
130370,0
417709,0
322923,0
413362,1
59718,0
496966,0
98290,0
380471,0
478133,0
226520,0
107931,0
416229,0
216443,0
411554,0
247371,0
292916,0
361489,0
293595,0
13090,0
453676,0
299443,0
257126,0
496825,0
270905,0
380557,0
293005,0
303369,0
494211,0
242831,0
482326,0
290458,0
116697,0
491967,1
377801,0
339010,0
84001,0
9408,0
8581,0
60167,0
300211,1
48664,0
63243,0
502569,1
253911,0
248503,0
199801,0
50745,0
371045,0
150983,0
186930,0
363555,0
319149,0
201957,0
220572,0
27018,0
17284,0
181450,0
347326,0
328752,0
51472,0
263828,0
436456,0
428966,1
254011,0
169378,0
415893,0
469363,0
290084,0
386412,0
8630,0
396814,0
404477,1
183274,0
323968,0
100877,0
97184,0
317949,0
147166,0
246007,0
248051,0
432301,0
248914,0
132424,0
324465,0
227340,0
500689,0
170703,0
60779,0
498071,0
206104,0
78137,0
